epoch,lr,train_loss,train_acc,train_prec,train_rec,train_f1,val_loss,val_acc,val_prec,val_rec,val_f1,val_ema_loss,val_ema_acc,val_ema_prec,val_ema_rec,val_ema_f1,epoch_time_seconds
1,2.9999999999999997e-05,1.3398482622419086,0.3369252873563218,0.3611879884153496,0.3370682413658047,0.31810992541002125,1.2753487014770508,0.48,0.5620673380919787,0.48,0.4642639960866006,1.3863764667510987,0.25,0.0625,0.25,0.1,124.77245998382568
2,0.00011999999999999999,0.9704585647583008,0.6145833333333334,0.6096263603216517,0.6145616050761395,0.6094548572441101,0.6178076207637787,0.78,0.7767412326235856,0.7799999999999999,0.7665241609148494,1.3863883543014526,0.25,0.0625,0.25,0.1,124.11084580421448
3,0.00020999999999999998,0.8115398267337254,0.7051005747126436,0.7018712489238285,0.7052337547788785,0.7030608549473483,0.9183262854814529,0.68375,0.6860856760897881,0.68375,0.6564477592325982,1.3864121675491332,0.25,0.0625,0.25,0.1,136.60861611366272
4,0.0003,0.6723611269678388,0.7834051724137931,0.7811572801007165,0.7834547284978673,0.7816317067148133,0.5862756478786468,0.81875,0.8158106087292474,0.81875,0.8150121033246955,1.3864444637298583,0.25,0.0625,0.25,0.1,137.67173409461975
5,0.00029898575366129145,0.6283996568407331,0.7852011494252874,0.7824514419967976,0.7851408399822466,0.7826497279467819,0.5830043351650238,0.825,0.8440070765148164,0.825,0.8285531264455683,1.3864657831192018,0.25,0.0625,0.25,0.1,136.73840403556824
6,0.00029595673058697357,0.6910615546362741,0.7579022988505747,0.7561487636761213,0.7579419445748039,0.7564331812539888,0.5590708655118942,0.8275,0.8506237166029145,0.8275,0.8252618961895708,1.3864523601531982,0.25,0.0625,0.25,0.1,143.72979998588562
7,0.0002909538931178862,0.5439236807823181,0.8132183908045977,0.8130660845164374,0.8132537464314404,0.8128944885573538,0.5072000020742417,0.83625,0.841137870281892,0.83625,0.8282631028106017,1.3864233255386353,0.25,0.0625,0.25,0.1,138.23335099220276
8,0.0002840448960485118,0.518545618397849,0.8318965517241379,0.832483055869377,0.8320836855836995,0.8322615668923627,0.45712499499320985,0.88125,0.8882519033356958,0.88125,0.8830737508554173,1.3863985013961793,0.25,0.0625,0.25,0.1,135.51164984703064
9,0.00027532317171194046,0.53919791834695,0.8146551724137931,0.8143520407931583,0.8147435566611273,0.8144460653461917,0.3658823305368423,0.92875,0.9332051405699957,0.92875,0.9287898814761584,1.3863919353485108,0.25,0.0625,0.25,0.1,134.3676619529724
10,0.00026490666646784665,0.5054713916778565,0.8358477011494253,0.8357448091764363,0.8359082785496381,0.8357202395719234,0.4483298832178116,0.89,0.8910770975056689,0.89,0.8904449835684093,1.386444592475891,0.25,0.0625,0.25,0.1,135.02513694763184
11,0.00025293624568031,0.5315321263245174,0.8304597701149425,0.8311437453312902,0.8303671913506513,0.8306993391257607,0.3955093777179718,0.91,0.9110865914690058,0.9099999999999999,0.9103280019138994,1.3865941619873048,0.25,0.0625,0.25,0.1,136.19021701812744
12,0.00023957378875541792,0.4364140663828169,0.8732040229885057,0.8733575265701814,0.8731313883628111,0.8732036051202479,0.4417839854955673,0.8975,0.9015425544702403,0.8975,0.8949521086286144,1.3868585109710694,0.25,0.0625,0.25,0.1,136.4069321155548
13,0.000225,0.49371491874967305,0.8462643678160919,0.8459843115748289,0.8461572645782933,0.8460664276114921,0.4155420607328415,0.8975,0.8963116434960439,0.8975,0.8958616590364931,1.3872935962677002,0.25,0.0625,0.25,0.1,138.69682097434998
14,0.0002094119649058735,0.4326799559593201,0.8692528735632183,0.8691417749630439,0.8692821592426746,0.8692085783909963,0.4121315586566925,0.92,0.9242805046323674,0.9199999999999999,0.9204499274711334,1.3878513336181642,0.25,0.0625,0.25,0.1,142.7855260372162
15,0.00019302048490666353,0.40596551384244645,0.8857758620689655,0.8856848713428037,0.8857494436198085,0.88567642327287,0.38325170934200287,0.925,0.928034541070206,0.925,0.924186060101111,1.3886092710494995,0.25,0.0625,0.25,0.1,140.12010288238525
16,0.00017604722665003956,0.4099120273760387,0.8742816091954023,0.8742721459627945,0.8742871193076707,0.8742623957473187,0.3517846530675888,0.93875,0.9382239047704914,0.93875,0.9379623223883774,1.3895538902282716,0.25,0.0625,0.25,0.1,150.4250671863556
17,0.00015872172433657134,0.3838003671169281,0.8886494252873564,0.8889057593326339,0.8886727506642054,0.8887800620318579,0.3750285392999649,0.9225,0.9218467384508743,0.9225,0.9216116198636365,1.3904938220977783,0.25,0.0625,0.25,0.1,145.15614295005798
18,0.00014127827566342863,0.36552552027361734,0.9005028735632183,0.9006058538847902,0.9004683815743053,0.9005279963005778,0.3445292901992798,0.9425,0.9425451811453932,0.9425,0.9422392759785084,1.3913002300262451,0.25,0.0625,0.25,0.1,163.59051704406738
19,0.00012395277334996044,0.34819873520306177,0.8997844827586207,0.9002989144707413,0.8998213559097057,0.9000046184431716,0.3616465401649475,0.93625,0.9355484843933819,0.93625,0.9357574976086427,1.3919349527359008,0.25,0.0625,0.25,0.1,176.25432205200195
20,0.0001069795150933365,0.3925646789584841,0.8825431034482759,0.8829880195050965,0.8826049517765506,0.8827723724195231,0.3827828478813171,0.92625,0.9252546789860223,0.92625,0.9254360728062594,1.392430019378662,0.25,0.0625,0.25,0.1,198.01368975639343
21,9.058803509412646e-05,0.35470630594662256,0.9181034482758621,0.9182540072351693,0.9180913790852507,0.918162057648159,0.34585108399391173,0.94875,0.9486621679842095,0.94875,0.9484847120558968,1.392836227416992,0.25,0.0625,0.25,0.1,213.9379119873047
22,7.500000000000002e-05,0.308981083546366,0.9080459770114943,0.9081758318416254,0.9080512439663376,0.9080970641464812,0.37019311368465424,0.94125,0.9411394132419919,0.94125,0.9410188006581277,1.3932430458068847,0.25,0.0625,0.25,0.1,223.20839500427246
23,6.04262112445821e-05,0.3516588080780847,0.8943965517241379,0.8945442323193967,0.8943468162660847,0.8944245398703214,0.35870441257953645,0.9275,0.9265946069149309,0.9275,0.9268294246163504,1.3935727214813232,0.25,0.0625,0.25,0.1,223.36009812355042
24,4.706375431968997e-05,0.2827880988376481,0.9418103448275862,0.941862921013537,0.9418035756424298,0.9418229524410116,0.39517930150032043,0.92375,0.9225170130851149,0.92375,0.9228694049072451,1.393807554244995,0.25,0.0625,0.25,0.1,224.9647660255432
25,3.509333353215331e-05,0.31510766821248193,0.9295977011494253,0.9298440520901364,0.9296025209518145,0.9296847992230473,0.37440516471862795,0.93125,0.9304029304029304,0.93125,0.9306112997838839,1.394015769958496,0.25,0.0625,0.25,0.1,226.67526817321777
26,2.4676828288059558e-05,0.318379014985902,0.8875718390804598,0.887653687043084,0.8875603680218147,0.8875749965913009,0.3515891981124878,0.9425,0.9422623678960587,0.9425,0.9420778606367317,1.394226336479187,0.25,0.0625,0.25,0.1,226.439523935318
27,1.5955103951488173e-05,0.40056088515690397,0.8954741379310345,0.8954600737075542,0.895515574498212,0.8954493334442444,0.34721087992191313,0.94625,0.9466135632041571,0.94625,0.9457751735340609,1.3943684482574463,0.25,0.0625,0.25,0.1,197.51675581932068
28,9.046106882113751e-06,0.3013222561563764,0.9317528735632183,0.9317291208758849,0.9317430900048926,0.9317147725481832,0.35292910277843476,0.94125,0.9418537546678193,0.94125,0.9409212137024682,1.3945095109939576,0.25,0.0625,0.25,0.1,152.66276717185974
29,4.043269413026429e-06,0.30516376852989197,0.9321120689655172,0.9321900605672647,0.9321282411608682,0.9321293946871549,0.3549161767959595,0.9425,0.9420273350442357,0.9425,0.9422019439901312,1.3946070194244384,0.25,0.0625,0.25,0.1,137.06845211982727
30,1.0142463387085464e-06,0.3412875613144466,0.9076867816091954,0.9076484889279546,0.9076611948679805,0.9076502009590351,0.3639728856086731,0.9375,0.937771939388433,0.9375,0.936561811295413,1.3947056722640991,0.25,0.0625,0.25,0.1,137.18128895759583
